,CONSUMO,GGBR,CDI,PREMIO_GGBR,PREMIO_CONSUMO
1,0.026264133539010425,-0.14436950163768333,0.0272435675599998,-0.17161306919768313,-0.0009794340209893747
2,0.05548000904544018,-0.034461572491774436,0.0275487899520002,-0.06201036244377464,0.02793121909343998
3,-0.029072229283467785,-0.18393803066096845,0.0283627901599999,-0.21230082082096835,-0.05743501944346768
4,0.0021797603245013986,-0.0641838443174412,0.0326479973480001,-0.0968318416654413,-0.0304682370234987
5,0.022233595563389576,-0.11252437873109897,0.0336709976310003,-0.14619537636209928,-0.011437402067610725
6,0.04185716485072199,-0.3466970364648819,0.0330573510799999,-0.37975438754488183,0.008799813770722087
7,-0.026367022190828537,-0.11636361287562141,0.0324440180000001,-0.14880763087562152,-0.05881104019082864
8,0.012340026828337358,-0.16343235897408157,0.0341821592360003,-0.19761451821008186,-0.021842132407662942
9,0.02875305431964161,0.3433458316110065,0.034079320255,0.3092665113560065,-0.005326265935358388
10,0.03275079211297568,0.28862506263360893,0.032751017984,0.25587404464960894,-2.258710243216444e-07
11,-0.039409413547655925,0.3222483236935601,0.0279548414349999,0.2942934822585602,-0.06736425498265583
12,0.01566361449139023,0.019791945719954677,0.0279548414349999,-0.00816289571504522,-0.012291226943609668
13,0.030145948933877575,-0.19617960269773643,0.0242941184000001,-0.22047372109773652,0.005851830533877476
14,0.04487980773121334,0.1251835893359876,0.0186141534719999,0.1065694358639877,0.026265654259213442
15,-0.04188005495669713,0.027552855572386046,0.0158829840720001,0.011669871500385946,-0.05776303902869723
16,0.010390629497556815,0.27213899859239205,0.0157823033120001,0.25635669528039196,-0.005391673814443285
17,0.032715532617586196,0.009266140163693213,0.0163886600560004,-0.007122519892307189,0.016326872561585794
18,0.045296678510416986,0.10187181546113781,0.0150749943619999,0.08679682109913792,0.030221684148417086
19,-0.040294030170389385,-0.06099370148304183,0.0152770596539997,-0.07627076113704154,-0.05557108982438909
